Data | Produkt | Masa | Cena
2026-01-17 | Pomaraäcze | 1,8 | 7,50 zˆ
2026-01-02 | Banany | 1 | 6,00 zˆ
2026-01-13 | Marchew | 0,5 | 1,80 zˆ
2026-01-25 | Pomaraäcze | 2,5 | 7,50 zˆ
2026-01-30 | Gruszki | 0,7 | 5,00 zˆ
2026-01-20 | Ziemniaki | 1,2 | 1,20 zˆ
2026-01-20 | Gruszki | 2 | 5,00 zˆ
2026-01-11 | Ziemniaki | 1,8 | 1,20 zˆ
2026-01-24 | Pomaraäcze | 0,5 | 7,50 zˆ
2026-01-09 | Gruszki | 1 | 5,00 zˆ
2026-01-22 | Marchew | 2,5 | 1,80 zˆ
2026-01-19 | Pomidory | 1 | 8,00 zˆ
2026-01-25 | Marchew | 1,2 | 1,80 zˆ
2026-01-07 | Pomaraäcze | 2 | 7,50 zˆ
2026-01-12 | Marchew | 1 | 1,80 zˆ
2026-01-05 | Jabˆka | 0,5 | 4,50 zˆ
2026-01-18 | Pomidory | 1 | 8,00 zˆ
2026-01-20 | Marchew | 1,2 | 1,80 zˆ
2026-01-27 | Gruszki | 1 | 5,00 zˆ
2026-01-06 | Pomaraäcze | 0,5 | 7,50 zˆ
2026-01-10 | Ziemniaki | 0,5 | 1,20 zˆ
2026-01-07 | Pomaraäcze | 2 | 7,50 zˆ
2026-01-06 | Jabˆka | 1 | 4,50 zˆ
2026-01-24 | Gruszki | 1,2 | 5,00 zˆ
2026-01-10 | Jabˆka | 1,5 | 4,50 zˆ
2026-01-29 | Banany | 0,5 | 6,00 zˆ
2026-01-19 | Gruszki | 1,5 | 5,00 zˆ
2026-01-14 | Ziemniaki | 3 | 1,20 zˆ
2026-01-30 | Pomaraäcze | 1 | 7,50 zˆ
2026-01-30 | Jabˆka | 2 | 4,50 zˆ
2026-01-17 | Marchew | 1,5 | 1,80 zˆ
2026-01-02 | Marchew | 1 | 1,80 zˆ
2026-01-20 | Banany | 1 | 6,00 zˆ
2026-01-31 | Pomidory | 1 | 8,00 zˆ
2026-01-26 | Marchew | 1 | 1,80 zˆ
2026-01-04 | Pomidory | 0,5 | 8,00 zˆ
2026-01-12 | Ziemniaki | 0,5 | 1,20 zˆ
2026-01-06 | Banany | 1 | 6,00 zˆ
2026-01-21 | Pomaraäcze | 1 | 7,50 zˆ
2026-01-08 | Banany | 1 | 6,00 zˆ
2026-01-18 | Marchew | 1,2 | 1,80 zˆ
2026-01-20 | Banany | 1,5 | 6,00 zˆ
2026-01-12 | Gruszki | 2 | 5,00 zˆ
2026-01-05 | Pomaraäcze | 0,5 | 7,50 zˆ
2026-01-17 | Jabˆka | 1,8 | 4,50 zˆ
2026-01-07 | Ziemniaki | 0,7 | 1,20 zˆ
2026-01-29 | Pomidory | 1,8 | 8,00 zˆ
2026-01-04 | Jabˆka | 2 | 4,50 zˆ
2026-01-12 | Ziemniaki | 0,7 | 1,20 zˆ
2026-01-03 | Jabˆka | 0,5 | 4,50 zˆ
2026-01-16 | Marchew | 1,5 | 1,80 zˆ
2026-01-15 | Jabˆka | 2 | 4,50 zˆ
2026-01-12 | Ziemniaki | 2 | 1,20 zˆ
2026-01-26 | Gruszki | 2 | 5,00 zˆ
2026-01-06 | Ziemniaki | 1,8 | 1,20 zˆ
2026-01-01 | Jabˆka | 1 | 4,50 zˆ
2026-01-17 | Jabˆka | 1 | 4,50 zˆ
2026-01-04 | Banany | 2 | 6,00 zˆ
2026-01-27 | Banany | 1 | 6,00 zˆ
2026-01-04 | Pomidory | 1,2 | 8,00 zˆ
2026-01-20 | Pomaraäcze | 0,5 | 7,50 zˆ
2026-01-27 | Pomaraäcze | 0,5 | 7,50 zˆ
2026-01-16 | Pomaraäcze | 5 | 7,50 zˆ
2026-01-15 | Marchew | 0,5 | 1,80 zˆ
2026-01-30 | Pomaraäcze | 2 | 7,50 zˆ
2026-01-19 | Marchew | 0,5 | 1,80 zˆ
2026-01-21 | Banany | 2 | 6,00 zˆ
2026-01-02 | Banany | 1 | 6,00 zˆ
2026-01-07 | Banany | 2 | 6,00 zˆ
2026-01-02 | Banany | 2 | 6,00 zˆ
2026-01-06 | Pomaraäcze | 0,7 | 7,50 zˆ
2026-01-14 | Pomaraäcze | 1,2 | 7,50 zˆ
2026-01-18 | Pomaraäcze | 1,2 | 7,50 zˆ
2026-01-31 | Marchew | 1 | 1,80 zˆ
2026-01-27 | Ziemniaki | 1 | 1,20 zˆ
2026-01-19 | Pomidory | 0,5 | 8,00 zˆ
2026-01-04 | Marchew | 1,5 | 1,80 zˆ
2026-01-16 | Ziemniaki | 0,5 | 1,20 zˆ
2026-01-18 | Banany | 1 | 6,00 zˆ
2026-01-03 | Jabˆka | 5 | 4,50 zˆ
2026-01-06 | Pomidory | 1 | 8,00 zˆ
2026-01-16 | Pomaraäcze | 0,5 | 7,50 zˆ
2026-01-21 | Pomaraäcze | 0,5 | 7,50 zˆ
2026-01-18 | Pomidory | 1,2 | 8,00 zˆ
2026-01-22 | Banany | 1 | 6,00 zˆ
2026-01-09 | Pomaraäcze | 0,5 | 7,50 zˆ
2026-01-07 | Pomaraäcze | 1 | 7,50 zˆ
2026-01-20 | Pomaraäcze | 1,8 | 7,50 zˆ
2026-01-14 | Pomidory | 1 | 8,00 zˆ
2026-01-01 | Banany | 0,5 | 6,00 zˆ
2026-01-20 | Pomidory | 3 | 8,00 zˆ
2026-01-23 | Ziemniaki | 2 | 1,20 zˆ
2026-01-26 | Jabˆka | 2 | 4,50 zˆ
2026-01-10 | Gruszki | 1,5 | 5,00 zˆ
2026-01-27 | Gruszki | 0,5 | 5,00 zˆ
2026-01-10 | Pomidory | 1,5 | 8,00 zˆ
2026-01-26 | Pomidory | 0,5 | 8,00 zˆ
2026-01-03 | Jabˆka | 0,5 | 4,50 zˆ
2026-01-01 | Gruszki | 2 | 5,00 zˆ
2026-01-26 | Gruszki | 1,2 | 5,00 zˆ
2026-01-07 | Marchew | 1,5 | 1,80 zˆ
2026-01-12 | Jabˆka | 1 | 4,50 zˆ
2026-01-30 | Marchew | 1 | 1,80 zˆ
2026-01-08 | Pomaraäcze | 1 | 7,50 zˆ
2026-01-14 | Jabˆka | 2 | 4,50 zˆ
2026-01-15 | Pomidory | 0,5 | 8,00 zˆ
Stopka
Firma: Owocowo Warzywny Koszyk
