Data        Produkt       Miasto    Przychód   Koszty     
2026-01-24  Jabłka        Wrocław   2385,00 zł 1860,30 zł 
2026-01-14  Marchew       Toruń     5655,00 zł 4241,30 zł 
2026-01-06  Gruszki       Kraków    6225,00 zł 3548,30 zł 
2026-01-23  Pomarańcze    Warszawa  7345,00 zł 3452,20 zł 
2026-01-23  Ziemniaki     Warszawa  5120,00 zł 1638,40 zł 
2026-01-04  Pomarańcze    Toruń     7420,00 zł 4600,40 zł 
2026-01-26  Jabłka        Kielce    6800,00 zł 2720,00 zł 
2026-01-10  Gruszki       Kraków    6375,00 zł 2613,80 zł 
2026-01-18  Jabłka        Kraków    4010,00 zł 2927,30 zł 
2026-01-30  Banany        Warszawa  9130,00 zł 4747,60 zł 
2026-01-29  Gruszki       Kraków    7085,00 zł 2904,90 zł 
2026-01-20  Ziemniaki     Wrocław   8750,00 zł 5425,00 zł 
2026-01-09  Pomarańcze    Wrocław   3000,00 zł 1290,00 zł 
2026-01-22  Jabłka        Warszawa  7510,00 zł 4806,40 zł 
2026-01-25  Marchew       Kielce    4120,00 zł 3048,80 zł 
2026-01-04  Marchew       Kraków    7995,00 zł 6076,20 zł 
2026-01-22  Banany        Toruń     2950,00 zł 2094,50 zł 
2026-01-03  Pomidory      Warszawa  5440,00 zł 4025,60 zł 
2026-01-18  Marchew       Wrocław   2945,00 zł 1767,00 zł 
2026-01-12  Pomidory      Wrocław   6430,00 zł 4501,00 zł 
2026-01-21  Ziemniaki     Kraków    1125,00 zł 686,30 zł  
2026-01-20  Banany        Wrocław   7560,00 zł 4006,80 zł 
2026-01-02  Pomarańcze    Wrocław   3300,00 zł 1485,00 zł 
2026-01-16  Banany        Toruń     2120,00 zł 954,00 zł  
2026-01-26  Marchew       Kraków    190,00 zł  136,80 zł  
2026-01-21  Banany        Wrocław   9810,00 zł 5101,20 zł 
2026-01-22  Gruszki       Wrocław   4875,00 zł 2096,30 zł 
2026-01-14  Pomarańcze    Kraków    5790,00 zł 3937,20 zł 
2026-01-10  Jabłka        Toruń     6045,00 zł 2780,70 zł 
2026-01-13  Ziemniaki     Kraków    5210,00 zł 2657,10 zł 
2026-01-20  Pomidory      Kraków    3870,00 zł 1741,50 zł 
2026-01-25  Jabłka        Warszawa  2630,00 zł 1367,60 zł 
2026-01-31  Ziemniaki     Wrocław   8775,00 zł 5440,50 zł 
2026-01-13  Jabłka        Kielce    6105,00 zł 3907,20 zł 
2026-01-06  Marchew       Warszawa  8710,00 zł 2787,20 zł 
2026-01-11  Jabłka        Kielce    6155,00 zł 4247,00 zł 
2026-01-27  Ziemniaki     Warszawa  8415,00 zł 4964,90 zł 
2026-01-16  Gruszki       Kielce    8060,00 zł 2498,60 zł 
2026-01-27  Ziemniaki     Toruń     5535,00 zł 2767,50 zł 
2026-01-26  Jabłka        Kielce    2275,00 zł 1410,50 zł 
2026-01-04  Jabłka        Kielce    2740,00 zł 2055,00 zł 
2026-01-01  Banany        Warszawa  5350,00 zł 4173,00 zł 
2026-01-14  Banany        Wrocław   515,00 zł  226,60 zł  
2026-01-14  Pomidory      Warszawa  4000,00 zł 1440,00 zł 
2026-01-17  Pomarańcze    Kielce    250,00 zł  160,00 zł  
2026-01-31  Pomarańcze    Wrocław   5225,00 zł 2821,50 zł 
2026-01-04  Pomarańcze    Warszawa  3315,00 zł 1856,40 zł 
2026-01-10  Marchew       Warszawa  3895,00 zł 3116,00 zł 
2026-01-27  Pomarańcze    Kraków    1695,00 zł 1067,90 zł 
2026-01-15  Marchew       Kraków    9630,00 zł 4237,20 zł 
2026-01-13  Banany        Warszawa  7960,00 zł 4457,60 zł 
2026-01-01  Banany        Warszawa  495,00 zł  217,80 zł  
2026-01-21  Banany        Warszawa  7300,00 zł 3358,00 zł 
2026-01-17  Banany        Toruń     5955,00 zł 4764,00 zł 
2026-01-09  Pomarańcze    Warszawa  9495,00 zł 7501,10 zł 
2026-01-23  Pomarańcze    Warszawa  5860,00 zł 4570,80 zł 
2026-01-09  Pomarańcze    Warszawa  5540,00 zł 3933,40 zł 
2026-01-15  Marchew       Wrocław   8505,00 zł 3231,90 zł 
2026-01-11  Ziemniaki     Kraków    8145,00 zł 4561,20 zł 
2026-01-19  Pomidory      Kraków    9835,00 zł 6097,70 zł 
2026-01-18  Marchew       Kraków    8950,00 zł 5459,50 zł 
2026-01-24  Ziemniaki     Kielce    3295,00 zł 1087,40 zł 
2026-01-20  Banany        Toruń     9315,00 zł 5402,70 zł 
2026-01-07  Jabłka        Kielce    7755,00 zł 6204,00 zł 
2026-01-23  Pomidory      Wrocław   8700,00 zł 3741,00 zł 
2026-01-20  Pomarańcze    Kraków    6750,00 zł 3240,00 zł 
2026-01-29  Pomarańcze    Warszawa  6340,00 zł 2028,80 zł 
2026-01-19  Pomidory      Toruń     6550,00 zł 4388,50 zł 
2026-01-15  Banany        Warszawa  1845,00 zł 996,30 zł  
2026-01-05  Pomarańcze    Warszawa  5670,00 zł 3345,30 zł 
2026-01-19  Pomarańcze    Kraków    8085,00 zł 6063,80 zł 
2026-01-04  Pomarańcze    Warszawa  8115,00 zł 4057,50 zł 
2026-01-29  Pomidory      Kraków    7350,00 zł 3160,50 zł 
2026-01-18  Banany        Kielce    9555,00 zł 7644,00 zł 
