Data;Produkt;Przychód;Koszt
28.02.2026;Banany;10 463,00 zł;6 591,70 zł
5.07.2026;Jabłka;1 214,00 zł;667,70 zł
18.01.2026;Marchew;10 844,00 zł;3 795,40 zł
12.12.2026;Jabłka;10 434,00 zł;6 364,70 zł
4.08.2026;Pomidory;10 599,00 zł;4 133,60 zł
16.04.2026;Marchew;5 745,00 zł;4 366,20 zł
25.04.2026;Pomidory;11 228,00 zł;4 603,50 zł
9.10.2026;Banany;5 305,00 zł;1 909,80 zł
3.03.2026;Ziemniaki;4 835,00 zł;2 901,00 zł
9.06.2026;Gruszki;4 859,00 zł;1 554,90 zł
8.10.2026;Ziemniaki;3 679,00 zł;1 655,60 zł
9.12.2026;Ziemniaki;8 251,00 zł;5 033,10 zł
20.02.2026;Pomarańcze;875,00 zł;367,50 zł
25.07.2026;Jabłka;689,00 zł;351,40 zł
17.03.2026;Ziemniaki;3 555,00 zł;1 884,20 zł
31.01.2026;Gruszki;5 579,00 zł;3 793,70 zł
21.01.2026;Ziemniaki;8 224,00 zł;4 687,70 zł
27.05.2026;Ziemniaki;4 133,00 zł;1 942,50 zł
9.11.2026;Gruszki;1 624,00 zł;1 071,80 zł
20.12.2026;Pomarańcze;6 312,00 zł;3 282,20 zł
27.02.2026;Banany;9 153,00 zł;7 139,30 zł
31.12.2026;Gruszki;4 797,00 zł;3 549,80 zł
7.04.2026;Marchew;553,00 zł;392,60 zł
6.01.2026;Jabłka;8 036,00 zł;5 464,50 zł
27.02.2026;Jabłka;5 400,00 zł;3 132,00 zł
29.11.2026;Banany;7 341,00 zł;4 111,00 zł
13.12.2026;Gruszki;11 766,00 zł;3 647,50 zł
1.08.2026;Marchew;4 413,00 zł;1 588,70 zł
24.01.2026;Banany;525,00 zł;273,00 zł
2.05.2026;Marchew;3 971,00 zł;2 303,20 zł
20.03.2026;Pomarańcze;7 705,00 zł;4 006,60 zł
14.01.2026;Jabłka;4 645,00 zł;3 483,80 zł
28.08.2026;Jabłka;6 665,00 zł;3 199,20 zł
16.01.2026;Banany;601,00 zł;324,50 zł
29.09.2026;Pomarańcze;4 543,00 zł;1 726,30 zł
17.06.2026;Banany;11 024,00 zł;3 527,70 zł
8.07.2026;Gruszki;4 264,00 zł;1 961,40 zł
3.07.2026;Pomarańcze;2 843,00 zł;1 194,10 zł
3.08.2026;Pomarańcze;7 757,00 zł;4 111,20 zł
1.08.2026;Banany;11 971,00 zł;4 908,10 zł
17.12.2026;Banany;7 057,00 zł;3 669,60 zł
7.02.2026;Jabłka;1 565,00 zł;1 205,10 zł
13.01.2026;Banany;1 732,00 zł;1 143,10 zł
18.07.2026;Pomidory;4 510,00 zł;1 488,30 zł
3.11.2026;Ziemniaki;7 165,00 zł;3 654,20 zł
13.09.2026;Banany;4 749,00 zł;2 232,00 zł
22.04.2026;Ziemniaki;9 590,00 zł;6 617,10 zł
30.03.2026;Jabłka;4 565,00 zł;1 826,00 zł
28.02.2026;Banany;1 675,00 zł;670,00 zł
16.02.2026;Marchew;5 548,00 zł;2 108,20 zł
28.12.2026;Banany;4 183,00 zł;2 719,00 zł
26.05.2026;Ziemniaki;3 060,00 zł;2 325,60 zł
11.10.2026;Pomidory;10 450,00 zł;3 657,50 zł
10.11.2026;Jabłka;11 702,00 zł;4 563,80 zł
15.05.2026;Jabłka;6 339,00 zł;4 944,40 zł
18.11.2026;Pomarańcze;5 981,00 zł;3 768,00 zł
21.03.2026;Jabłka;2 265,00 zł;1 200,50 zł
19.01.2026;Gruszki;1 900,00 zł;798,00 zł
5.09.2026;Pomarańcze;7 247,00 zł;2 174,10 zł
29.04.2026;Gruszki;6 239,00 zł;3 244,30 zł
7.06.2026;Gruszki;4 498,00 zł;1 484,30 zł
18.11.2026;Marchew;9 334,00 zł;7 187,20 zł
9.01.2026;Jabłka;4 166,00 zł;2 041,30 zł
5.12.2026;Marchew;5 897,00 zł;3 951,00 zł
16.02.2026;Ziemniaki;967,00 zł;367,50 zł
14.12.2026;Banany;8 198,00 zł;2 623,40 zł
18.02.2026;Pomidory;8 635,00 zł;2 935,90 zł
24.09.2026;Marchew;1 470,00 zł;441,00 zł
26.05.2026;Marchew;11 992,00 zł;8 394,40 zł
27.08.2026;Marchew;7 143,00 zł;4 857,20 zł
6.09.2026;Ziemniaki;10 454,00 zł;7 317,80 zł
4.04.2026;Banany;10 697,00 zł;3 744,00 zł
8.12.2026;Jabłka;3 984,00 zł;2 988,00 zł
14.01.2026;Marchew;5 272,00 zł;2 425,10 zł
22.09.2026;Banany;10 533,00 zł;7 689,10 zł
10.06.2026;Gruszki;7 179,00 zł;5 312,50 zł
23.09.2026;Gruszki;8 277,00 zł;6 621,60 zł
28.04.2026;Ziemniaki;7 477,00 zł;2 467,40 zł
30.01.2026;Pomidory;8 574,00 zł;6 602,00 zł
16.02.2026;Banany;8 062,00 zł;3 869,80 zł
25.11.2026;Pomidory;5 051,00 zł;1 868,90 zł
11.10.2026;Banany;10 946,00 zł;7 114,90 zł
6.08.2026;Pomidory;8 600,00 zł;3 354,00 zł
12.05.2026;Pomidory;4 865,00 zł;1 605,50 zł
14.04.2026;Pomidory;630,00 zł;277,20 zł
5.09.2026;Pomarańcze;10 111,00 zł;5 561,10 zł
4.10.2026;Pomarańcze;10 617,00 zł;5 202,30 zł
12.02.2026;Jabłka;1 126,00 zł;788,20 zł
26.02.2026;Jabłka;8 221,00 zł;4 932,60 zł
10.11.2026;Marchew;2 898,00 zł;2 057,60 zł
9.03.2026;Pomidory;2 308,00 zł;1 684,80 zł
4.11.2026;Banany;2 550,00 zł;1 989,00 zł
27.10.2026;Pomidory;1 741,00 zł;1 027,20 zł
25.11.2026;Pomarańcze;5 178,00 zł;3 210,40 zł
21.02.2026;Jabłka;1 623,00 zł;649,20 zł
18.04.2026;Gruszki;8 749,00 zł;6 474,30 zł
21.07.2026;Gruszki;1 031,00 zł;732,00 zł
20.06.2026;Pomidory;1 632,00 zł;979,20 zł
18.04.2026;Ziemniaki;4 025,00 zł;2 535,80 zł
3.07.2026;Banany;3 612,00 zł;2 672,90 zł
15.05.2026;Gruszki;4 773,00 zł;3 579,80 zł
7.04.2026;Pomidory;2 862,00 zł;2 175,10 zł
7.02.2026;Banany;10 904,00 zł;4 797,80 zł
4.09.2026;Marchew;11 846,00 zł;6 633,80 zł
13.08.2026;Jabłka;5 665,00 zł;2 889,20 zł
11.03.2026;Gruszki;2 255,00 zł;676,50 zł
7.12.2026;Marchew;5 017,00 zł;2 458,30 zł
11.12.2026;Banany;3 391,00 zł;1 932,90 zł
12.11.2026;Marchew;5 093,00 zł;3 412,30 zł
19.12.2026;Banany;6 456,00 zł;3 357,10 zł
12.09.2026;Pomarańcze;8 395,00 zł;6 464,20 zł
2.08.2026;Pomidory;9 904,00 zł;4 456,80 zł
22.07.2026;Jabłka;1 970,00 zł;1 122,90 zł
4.12.2026;Pomidory;11 322,00 zł;7 246,10 zł
18.01.2026;Pomidory;3 948,00 zł;1 816,10 zł
6.06.2026;Ziemniaki;6 806,00 zł;4 015,50 zł
16.06.2026;Ziemniaki;5 505,00 zł;2 257,10 zł
6.07.2026;Pomarańcze;8 499,00 zł;5 014,40 zł
31.07.2026;Ziemniaki;6 132,00 zł;2 514,10 zł
26.02.2026;Marchew;7 099,00 zł;5 608,20 zł
7.07.2026;Gruszki;7 079,00 zł;3 327,10 zł
13.07.2026;Pomidory;11 145,00 zł;3 566,40 zł
20.06.2026;Marchew;1 077,00 zł;721,60 zł
25.03.2026;Gruszki;712,00 zł;327,50 zł
9.05.2026;Pomidory;10 343,00 zł;6 412,70 zł
18.10.2026;Jabłka;10 471,00 zł;3 141,30 zł
16.11.2026;Banany;9 909,00 zł;3 270,00 zł
17.12.2026;Pomarańcze;10 111,00 zł;4 145,50 zł
20.03.2026;Pomidory;2 284,00 zł;1 279,00 zł
17.12.2026;Marchew;1 107,00 zł;476,00 zł
13.04.2026;Gruszki;5 663,00 zł;4 247,30 zł
1.05.2026;Pomidory;2 333,00 zł;1 493,10 zł
4.10.2026;Jabłka;5 155,00 zł;2 989,90 zł
14.06.2026;Ziemniaki;11 744,00 zł;8 573,10 zł
16.12.2026;Gruszki;10 988,00 zł;4 944,60 zł
1.06.2026;Marchew;528,00 zł;274,60 zł
11.09.2026;Ziemniaki;9 167,00 zł;6 875,30 zł
15.12.2026;Banany;899,00 zł;593,30 zł
28.12.2026;Jabłka;10 263,00 zł;5 131,50 zł
8.10.2026;Pomarańcze;1 857,00 zł;779,90 zł
9.05.2026;Ziemniaki;11 455,00 zł;7 216,70 zł
17.05.2026;Gruszki;3 108,00 zł;1 367,50 zł
11.03.2026;Pomidory;10 024,00 zł;3 909,40 zł
13.01.2026;Marchew;4 609,00 zł;2 304,50 zł
2.04.2026;Pomarańcze;5 375,00 zł;3 655,00 zł
24.04.2026;Banany;4 379,00 zł;2 539,80 zł
7.09.2026;Banany;1 759,00 zł;1 248,90 zł
28.12.2026;Pomidory;10 663,00 zł;4 905,00 zł
17.05.2026;Pomidory;4 071,00 zł;2 157,60 zł
18.09.2026;Pomarańcze;5 497,00 zł;3 078,30 zł
19.07.2026;Ziemniaki;4 127,00 zł;1 857,20 zł
6.12.2026;Pomidory;10 259,00 zł;3 385,50 zł
28.03.2026;Pomarańcze;6 102,00 zł;3 417,10 zł
18.05.2026;Marchew;3 115,00 zł;1 869,00 zł
5.06.2026;Jabłka;6 862,00 zł;3 087,90 zł
14.07.2026;Pomidory;620,00 zł;341,00 zł
29.01.2026;Gruszki;1 946,00 zł;1 517,90 zł
24.03.2026;Gruszki;1 850,00 zł;1 202,50 zł
3.04.2026;Pomarańcze;1 405,00 zł;1 095,90 zł
9.06.2026;Banany;5 996,00 zł;3 537,60 zł
28.03.2026;Pomidory;8 854,00 zł;3 630,10 zł
11.04.2026;Banany;8 906,00 zł;2 760,90 zł
29.04.2026;Banany;3 653,00 zł;2 593,60 zł
1.01.2026;Banany;6 285,00 zł;3 016,80 zł
17.08.2026;Pomarańcze;7 051,00 zł;4 794,70 zł
2.11.2026;Banany;960,00 zł;556,80 zł
19.02.2026;Pomidory;6 871,00 zł;2 061,30 zł
1.01.2026;Pomarańcze;11 861,00 zł;3 558,30 zł
19.10.2026;Gruszki;7 275,00 zł;4 510,50 zł
14.09.2026;Pomarańcze;6 839,00 zł;5 471,20 zł
16.07.2026;Ziemniaki;10 675,00 zł;6 511,80 zł
11.11.2026;Gruszki;7 473,00 zł;2 690,30 zł
1.12.2026;Pomidory;8 531,00 zł;5 289,20 zł
18.02.2026;Ziemniaki;4 812,00 zł;3 175,90 zł
28.10.2026;Jabłka;2 708,00 zł;1 679,00 zł
1.03.2026;Ziemniaki;6 671,00 zł;3 335,50 zł
7.04.2026;Pomidory;10 417,00 zł;7 291,90 zł
4.10.2026;Banany;8 359,00 zł;2 507,70 zł
21.11.2026;Gruszki;10 952,00 zł;4 052,20 zł
29.04.2026;Gruszki;777,00 zł;240,90 zł
27.12.2026;Jabłka;9 978,00 zł;3 093,20 zł
8.03.2026;Pomidory;11 746,00 zł;4 346,00 zł
2.10.2026;Banany;8 351,00 zł;2 922,90 zł
26.05.2026;Ziemniaki;5 844,00 zł;3 389,50 zł
19.08.2026;Jabłka;3 378,00 zł;1 857,90 zł
4.02.2026;Gruszki;8 060,00 zł;5 319,60 zł
3.11.2026;Ziemniaki;5 334,00 zł;2 613,70 zł
12.07.2026;Pomidory;5 225,00 zł;3 396,30 zł
15.04.2026;Jabłka;2 011,00 zł;1 468,00 zł
25.04.2026;Pomidory;10 984,00 zł;7 249,40 zł
7.02.2026;Jabłka;5 771,00 zł;4 501,40 zł
1.06.2026;Gruszki;5 515,00 zł;2 150,90 zł
2.04.2026;Banany;10 056,00 zł;5 530,80 zł
26.07.2026;Marchew;5 709,00 zł;2 797,40 zł
18.12.2026;Pomarańcze;11 126,00 zł;4 561,70 zł
24.04.2026;Ziemniaki;7 085,00 zł;3 542,50 zł
13.03.2026;Gruszki;1 872,00 zł;917,30 zł
11.11.2026;Gruszki;4 862,00 zł;2 965,80 zł
21.11.2026;Pomidory;8 865,00 zł;6 737,40 zł
12.09.2026;Banany;8 006,00 zł;3 122,30 zł
1.12.2026;Banany;4 649,00 zł;2 696,40 zł
14.06.2026;Pomarańcze;9 711,00 zł;5 438,20 zł
25.05.2026;Pomidory;8 456,00 zł;2 705,90 zł
3.03.2026;Banany;5 725,00 zł;2 061,00 zł
11.07.2026;Ziemniaki;10 295,00 zł;5 353,40 zł
6.03.2026;Jabłka;5 030,00 zł;2 766,50 zł
16.01.2026;Gruszki;10 718,00 zł;6 430,80 zł
2.06.2026;Marchew;10 685,00 zł;7 693,20 zł
17.06.2026;Gruszki;11 878,00 zł;6 176,60 zł
15.01.2026;Pomarańcze;2 881,00 zł;1 987,90 zł
18.08.2026;Banany;6 238,00 zł;3 867,60 zł
11.10.2026;Ziemniaki;6 132,00 zł;2 943,40 zł
3.03.2026;Gruszki;2 797,00 zł;1 202,70 zł
3.02.2026;Pomarańcze;2 252,00 zł;1 711,50 zł
9.04.2026;Pomidory;3 816,00 zł;1 564,60 zł
5.12.2026;Ziemniaki;10 470,00 zł;4 606,80 zł
10.01.2026;Jabłka;6 711,00 zł;3 154,20 zł
20.05.2026;Marchew;3 260,00 zł;1 988,60 zł
19.02.2026;Pomidory;4 822,00 zł;3 520,10 zł
1.01.2026;Gruszki;7 944,00 zł;5 640,20 zł
7.02.2026;Pomidory;8 693,00 zł;5 563,50 zł
7.10.2026;Marchew;2 386,00 zł;1 193,00 zł
20.05.2026;Banany;6 028,00 zł;1 989,20 zł
16.10.2026;Pomidory;10 153,00 zł;8 020,90 zł
18.08.2026;Marchew;7 672,00 zł;2 685,20 zł
21.10.2026;Banany;3 168,00 zł;2 154,20 zł
24.06.2026;Gruszki;10 224,00 zł;3 680,60 zł
5.06.2026;Jabłka;10 177,00 zł;6 513,30 zł
10.12.2026;Marchew;6 020,00 zł;4 515,00 zł
22.06.2026;Gruszki;6 170,00 zł;3 763,70 zł
7.08.2026;Ziemniaki;8 491,00 zł;5 009,70 zł
14.11.2026;Pomidory;8 222,00 zł;4 933,20 zł
11.03.2026;Marchew;1 703,00 zł;1 362,40 zł
16.12.2026;Marchew;3 273,00 zł;1 276,50 zł
31.05.2026;Marchew;9 983,00 zł;4 292,70 zł
2.09.2026;Pomarańcze;2 084,00 zł;1 521,30 zł
20.01.2026;Pomidory;7 845,00 zł;6 276,00 zł
23.06.2026;Gruszki;10 420,00 zł;7 606,60 zł
24.01.2026;Ziemniaki;8 842,00 zł;3 802,10 zł
22.06.2026;Marchew;7 746,00 zł;3 330,80 zł
10.07.2026;Gruszki;4 690,00 zł;2 438,80 zł
12.09.2026;Gruszki;673,00 zł;282,70 zł
18.05.2026;Jabłka;11 667,00 zł;8 166,90 zł
27.07.2026;Gruszki;8 867,00 zł;7 093,60 zł
28.07.2026;Ziemniaki;7 402,00 zł;3 182,90 zł
28.05.2026;Banany;2 806,00 zł;1 094,30 zł
27.08.2026;Ziemniaki;3 278,00 zł;2 524,10 zł
4.04.2026;Pomidory;1 558,00 zł;1 012,70 zł
10.02.2026;Marchew;3 300,00 zł;1 485,00 zł
30.03.2026;Ziemniaki;6 508,00 zł;2 342,90 zł
24.06.2026;Ziemniaki;5 996,00 zł;3 237,80 zł
3.08.2026;Pomarańcze;5 018,00 zł;3 161,30 zł
12.05.2026;Jabłka;4 263,00 zł;2 344,70 zł
7.03.2026;Marchew;2 323,00 zł;906,00 zł
31.01.2026;Gruszki;7 279,00 zł;3 712,30 zł
13.11.2026;Ziemniaki;8 960,00 zł;6 540,80 zł
7.05.2026;Pomarańcze;7 944,00 zł;3 177,60 zł
21.02.2026;Jabłka;3 732,00 zł;1 455,50 zł
1.01.2026;Ziemniaki;4 601,00 zł;3 220,70 zł
17.10.2026;Gruszki;8 980,00 zł;5 477,80 zł
4.04.2026;Marchew;11 351,00 zł;5 448,50 zł
19.07.2026;Gruszki;6 690,00 zł;4 482,30 zł
2.04.2026;Banany;8 036,00 zł;6 187,70 zł
28.07.2026;Marchew;9 092,00 zł;5 546,10 zł
25.09.2026;Gruszki;4 296,00 zł;1 632,50 zł
15.04.2026;Jabłka;6 849,00 zł;3 082,10 zł
4.03.2026;Pomidory;8 458,00 zł;5 751,40 zł
10.02.2026;Marchew;912,00 zł;346,60 zł
12.02.2026;Gruszki;7 355,00 zł;4 339,50 zł
19.08.2026;Jabłka;2 199,00 zł;1 077,50 zł
11.08.2026;Banany;6 654,00 zł;3 992,40 zł
17.03.2026;Banany;11 107,00 zł;4 442,80 zł
21.02.2026;Gruszki;1 894,00 zł;1 287,90 zł
26.11.2026;Marchew;4 666,00 zł;2 846,30 zł
30.05.2026;Marchew;683,00 zł;348,30 zł
22.07.2026;Banany;3 138,00 zł;1 318,00 zł
11.09.2026;Marchew;3 148,00 zł;1 574,00 zł
3.05.2026;Pomidory;10 129,00 zł;7 292,90 zł
6.09.2026;Jabłka;2 293,00 zł;1 742,70 zł
29.03.2026;Marchew;2 383,00 zł;786,40 zł
12.01.2026;Pomidory;5 445,00 zł;2 395,80 zł
12.08.2026;Jabłka;4 741,00 zł;3 745,40 zł
30.05.2026;Banany;8 568,00 zł;4 626,70 zł
10.07.2026;Banany;11 998,00 zł;3 839,40 zł
16.04.2026;Banany;1 683,00 zł;1 228,60 zł
9.09.2026;Pomarańcze;10 936,00 zł;7 217,80 zł
22.08.2026;Pomidory;9 688,00 zł;3 197,00 zł
17.08.2026;Pomidory;1 260,00 zł;907,20 zł
24.08.2026;Pomidory;2 606,00 zł;1 693,90 zł
22.04.2026;Jabłka;7 602,00 zł;2 812,70 zł
5.01.2026;Marchew;3 533,00 zł;2 437,80 zł
16.11.2026;Pomarańcze;6 802,00 zł;4 557,30 zł
10.09.2026;Jabłka;4 356,00 zł;3 310,60 zł
2.02.2026;Gruszki;4 419,00 zł;1 590,80 zł
11.12.2026;Banany;4 742,00 zł;1 707,10 zł
9.09.2026;Banany;1 186,00 zł;427,00 zł
23.04.2026;Pomidory;5 227,00 zł;3 763,40 zł
30.09.2026;Marchew;4 835,00 zł;1 643,90 zł
13.06.2026;Banany;5 413,00 zł;2 544,10 zł
12.01.2026;Banany;7 055,00 zł;3 174,80 zł
19.09.2026;Jabłka;1 986,00 zł;695,10 zł
16.09.2026;Marchew;8 743,00 zł;5 070,90 zł
19.02.2026;Pomidory;7 676,00 zł;2 456,30 zł
18.02.2026;Banany;9 100,00 zł;4 095,00 zł
30.12.2026;Jabłka;943,00 zł;565,80 zł
1.03.2026;Marchew;4 017,00 zł;2 530,70 zł
4.10.2026;Pomidory;6 068,00 zł;2 669,90 zł
11.07.2026;Marchew;501,00 zł;360,70 zł
9.08.2026;Marchew;11 001,00 zł;3 740,30 zł
11.01.2026;Pomarańcze;7 847,00 zł;5 100,60 zł
21.11.2026;Pomarańcze;10 415,00 zł;4 478,50 zł
6.12.2026;Marchew;9 333,00 zł;6 066,50 zł
24.02.2026;Pomarańcze;6 837,00 zł;2 803,20 zł
16.08.2026;Jabłka;717,00 zł;380,00 zł
29.09.2026;Ziemniaki;10 820,00 zł;4 111,60 zł
11.04.2026;Gruszki;8 588,00 zł;5 754,00 zł
9.04.2026;Gruszki;2 482,00 zł;1 737,40 zł
16.12.2026;Marchew;8 725,00 zł;5 671,30 zł
3.09.2026;Pomarańcze;8 339,00 zł;3 919,30 zł
10.02.2026;Gruszki;8 761,00 zł;2 715,90 zł
20.07.2026;Pomarańcze;8 101,00 zł;2 430,30 zł
26.06.2026;Ziemniaki;4 973,00 zł;2 436,80 zł
8.10.2026;Banany;5 415,00 zł;3 249,00 zł
24.09.2026;Jabłka;9 966,00 zł;7 374,80 zł
18.11.2026;Jabłka;10 010,00 zł;4 104,10 zł
30.03.2026;Marchew;6 513,00 zł;3 386,80 zł
23.11.2026;Ziemniaki;9 955,00 zł;2 986,50 zł
19.08.2026;Gruszki;4 596,00 zł;3 493,00 zł
15.09.2026;Jabłka;8 344,00 zł;3 587,90 zł
21.07.2026;Banany;2 863,00 zł;1 374,20 zł
3.08.2026;Gruszki;5 247,00 zł;1 888,90 zł
8.11.2026;Pomarańcze;5 800,00 zł;3 770,00 zł
3.06.2026;Pomarańcze;5 350,00 zł;3 852,00 zł
20.09.2026;Ziemniaki;4 221,00 zł;3 039,10 zł
24.03.2026;Ziemniaki;10 344,00 zł;7 654,60 zł
9.09.2026;Pomidory;3 581,00 zł;2 542,50 zł
1.08.2026;Pomarańcze;10 735,00 zł;8 158,60 zł
12.05.2026;Marchew;11 961,00 zł;6 937,40 zł
8.05.2026;Pomidory;2 850,00 zł;1 026,00 zł
25.08.2026;Jabłka;2 471,00 zł;939,00 zł
25.05.2026;Pomarańcze;2 136,00 zł;1 196,20 zł
1.07.2026;Pomarańcze;3 440,00 zł;1 238,40 zł
5.04.2026;Gruszki;10 193,00 zł;6 013,90 zł
25.01.2026;Pomarańcze;8 261,00 zł;5 452,30 zł
28.01.2026;Marchew;11 577,00 zł;4 399,30 zł
29.12.2026;Pomidory;2 113,00 zł;1 077,60 zł
11.12.2026;Pomidory;1 336,00 zł;427,50 zł
27.11.2026;Pomidory;2 278,00 zł;1 594,60 zł
5.08.2026;Ziemniaki;9 124,00 zł;5 565,60 zł
24.03.2026;Banany;8 272,00 zł;5 045,90 zł
17.05.2026;Banany;10 643,00 zł;6 811,50 zł
7.02.2026;Pomidory;2 493,00 zł;1 795,00 zł
18.11.2026;Jabłka;4 584,00 zł;3 163,00 zł
28.08.2026;Banany;853,00 zł;418,00 zł
25.08.2026;Banany;1 122,00 zł;695,60 zł
28.04.2026;Ziemniaki;3 869,00 zł;2 553,50 zł
11.05.2026;Ziemniaki;2 648,00 zł;1 562,30 zł
14.10.2026;Marchew;8 320,00 zł;6 156,80 zł
5.09.2026;Banany;8 589,00 zł;6 012,30 zł
30.12.2026;Pomarańcze;8 478,00 zł;4 323,80 zł
10.11.2026;Ziemniaki;3 713,00 zł;1 410,90 zł
30.11.2026;Marchew;3 941,00 zł;1 931,10 zł
14.07.2026;Banany;9 049,00 zł;6 153,30 zł
27.09.2026;Ziemniaki;7 861,00 zł;5 738,50 zł
5.10.2026;Marchew;6 673,00 zł;4 537,60 zł
23.12.2026;Ziemniaki;6 456,00 zł;2 582,40 zł
12.05.2026;Gruszki;11 129,00 zł;7 567,70 zł
9.03.2026;Banany;7 735,00 zł;2 707,30 zł
28.10.2026;Ziemniaki;2 542,00 zł;1 601,50 zł
9.05.2026;Banany;7 679,00 zł;5 989,60 zł
20.02.2026;Banany;6 783,00 zł;2 848,90 zł
17.12.2026;Pomidory;7 467,00 zł;2 688,10 zł
4.03.2026;Banany;683,00 zł;348,30 zł
21.12.2026;Marchew;11 738,00 zł;8 920,90 zł
14.04.2026;Pomidory;2 518,00 zł;1 284,20 zł
16.06.2026;Pomidory;8 948,00 zł;3 758,20 zł
1.09.2026;Jabłka;5 880,00 zł;2 822,40 zł
19.08.2026;Jabłka;11 724,00 zł;5 862,00 zł
16.09.2026;Marchew;3 956,00 zł;1 226,40 zł
20.02.2026;Jabłka;3 348,00 zł;1 439,60 zł
22.01.2026;Pomarańcze;2 568,00 zł;1 977,40 zł
21.07.2026;Banany;1 433,00 zł;716,50 zł
8.08.2026;Marchew;9 543,00 zł;4 103,50 zł
28.10.2026;Jabłka;1 133,00 zł;702,50 zł
17.10.2026;Jabłka;5 058,00 zł;2 933,60 zł
10.08.2026;Ziemniaki;6 995,00 zł;3 987,20 zł
2.02.2026;Jabłka;5 509,00 zł;2 479,10 zł
17.01.2026;Ziemniaki;10 320,00 zł;7 327,20 zł
26.10.2026;Gruszki;8 049,00 zł;3 058,60 zł
26.01.2026;Gruszki;6 510,00 zł;4 817,40 zł
29.05.2026;Jabłka;3 326,00 zł;1 530,00 zł
1.08.2026;Jabłka;2 451,00 zł;1 887,30 zł
16.12.2026;Gruszki;10 348,00 zł;5 691,40 zł
27.11.2026;Pomarańcze;9 441,00 zł;4 909,30 zł
21.11.2026;Ziemniaki;2 223,00 zł;778,10 zł
20.02.2026;Pomarańcze;3 486,00 zł;1 638,40 zł
12.06.2026;Pomarańcze;4 686,00 zł;3 139,60 zł
3.06.2026;Pomidory;2 286,00 zł;891,50 zł
24.05.2026;Marchew;2 344,00 zł;1 429,80 zł
14.10.2026;Gruszki;11 580,00 zł;6 137,40 zł
19.06.2026;Pomidory;10 366,00 zł;6 841,60 zł
4.04.2026;Gruszki;2 870,00 zł;918,40 zł
11.05.2026;Pomarańcze;8 316,00 zł;4 906,40 zł
14.12.2026;Ziemniaki;1 064,00 zł;670,30 zł
11.07.2026;Jabłka;9 642,00 zł;4 821,00 zł
20.11.2026;Pomarańcze;934,00 zł;280,20 zł
10.09.2026;Pomarańcze;6 568,00 zł;4 991,70 zł
26.06.2026;Jabłka;10 485,00 zł;4 089,20 zł
2.01.2026;Banany;2 307,00 zł;922,80 zł
21.04.2026;Jabłka;7 824,00 zł;3 520,80 zł
6.09.2026;Pomidory;1 974,00 zł;1 026,50 zł
25.02.2026;Jabłka;7 077,00 zł;4 458,50 zł
4.03.2026;Pomarańcze;3 362,00 zł;2 353,40 zł
8.05.2026;Gruszki;8 907,00 zł;6 145,80 zł
8.12.2026;Gruszki;10 581,00 zł;4 126,60 zł
10.10.2026;Pomarańcze;7 864,00 zł;2 673,80 zł
12.02.2026;Pomarańcze;856,00 zł;308,20 zł
29.10.2026;Banany;1 003,00 zł;792,40 zł
